Brand,Price,Year,Transmission,Capacity,Mileage,Published_Date,USD_Rate,Fuel_Price,Crude_Oil_Price
Bajaj CT-100,160000,2010,Manual,100,47000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,160000,2012,Manual,100,60000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,160000,2012,Manual,100,45000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,160000,2009,Manual,100,109000,10/22/2021,201.39,157,15811.13
Bajaj CT-100,160000,2012,Manual,100,21000,10/20/2021,200.54,157,15744.4
Bajaj CT-100,160000,2012,Manual,100,66240,10/8/2021,200.03,157,15704.36
Bajaj CT-100,163000,2012,Manual,100,69000,9/22/2021,199.76,157,13801.42
Bajaj CT-100,165000,2012,Manual,100,50000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,165000,2012,Manual,100,50000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,165000,2011,Manual,100,47000,10/31/2021,202.07,157,15864.52
Bajaj CT-100,165000,2013,Manual,100,75000,10/31/2021,202.07,157,15864.52
Bajaj CT-100,165000,2012,Manual,100,20000,10/29/2021,202.05,157,15862.95
Bajaj CT-100,165000,2011,Manual,100,46850,10/20/2021,200.54,157,15744.4
Bajaj CT-100,165000,2010,Manual,100,25894,10/12/2021,200.5,157,15741.26
Bajaj CT-100,165000,2012,Manual,100,43000,10/11/2021,200.06,157,15706.71
Bajaj CT-100,165000,2014,Manual,100,46000,10/7/2021,199.98,157,15700.43
Bajaj CT-100,165000,2011,Manual,100,54998,10/2/2021,199.7,157,15678.45
Bajaj CT-100,165000,2012,Manual,100,70000,10/1/2021,199.7,157,15678.45
Bajaj CT-100,165000,2012,Manual,100,12345,9/21/2021,199.96,157,13815.24
Bajaj CT-100,165000,2010,Manual,110,25000,9/17/2021,199.62,157,13791.75
Bajaj CT-100,165000,2008,Manual,100,43000,9/15/2021,199.45,157,13780
Bajaj CT-100,165000,2012,Manual,100,12345,9/11/2021,199.73,157,13799.35
Bajaj CT-100,165000,2009,Manual,100,54000,9/7/2021,201.5,157,13921.64
Bajaj CT-100,170000,2014,Manual,100,11111,10/20/2021,200.54,157,15744.4
Bajaj CT-100,170000,2013,Manual,100,60000,10/10/2021,199.89,157,15693.36
Bajaj CT-100,170000,2014,Manual,100,41000,9/11/2021,199.73,157,13799.35
Bajaj CT-100,175000,2012,Manual,100,27996,11/4/2021,201.49,157,15403.91
Bajaj CT-100,175000,2014,Manual,100,100000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,175000,2012,Manual,100,35000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,175000,2013,Manual,100,58000,10/26/2021,201.48,157,15818.19
Bajaj CT-100,175000,2010,Manual,100,53365,10/11/2021,200.06,157,15706.71
Bajaj CT-100,175000,2012,Manual,100,69000,9/20/2021,199.49,157,13782.76
Bajaj CT-100,178000,2013,Manual,100,65000,11/2/2021,201.98,157,15441.37
Bajaj CT-100,178000,2013,Manual,100,40000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,178000,2014,Manual,100,49580,10/25/2021,202,157,15859.02
Bajaj CT-100,178000,2013,Manual,100,21000,10/24/2021,201.33,157,15806.42
Bajaj CT-100,180000,2014,Manual,110,52000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,180000,2013,Manual,100,38000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,180000,2013,Manual,100,38000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,180000,2013,Manual,100,48000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,180000,2014,Manual,100,1111,11/4/2021,201.49,157,15403.91
Bajaj CT-100,180000,2014,Manual,100,75000,10/31/2021,202.07,157,15864.52
Bajaj CT-100,180000,2014,Manual,100,72000,10/30/2021,202.05,157,15862.95
Bajaj CT-100,180000,2013,Manual,100,59000,10/17/2021,202.03,157,15861.38
Bajaj Ct-100,180000,2013,Manual,100,36000,10/14/2021,200.98,157,15778.94
Bajaj CT-100,180000,2013,Manual,100,40000,10/8/2021,200.03,157,15704.36
Bajaj CT-100,180000,2015,Manual,100,36000,10/7/2021,199.98,157,15700.43
Bajaj CT-100,180000,2012,Manual,100,80000,10/5/2021,199.69,157,15677.66
Bajaj CT-100,180000,2013,Manual,100,26700,9/30/2021,199.67,157,13795.2
Bajaj CT-100,180000,2012,Manual,100,69000,9/19/2021,199.57,157,13788.29
Bajaj CT-100,182000,2013,Manual,100,51000,10/11/2021,200.06,157,15706.71
Bajaj CT-100,184000,2016,Manual,100,50140,10/27/2021,201.49,157,15818.98
Bajaj CT-100,185000,2013,Automatic,100,70000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,185000,2013,Manual,100,36000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,185000,2017,Automatic,100,10000,10/31/2021,202.07,157,15864.52
Bajaj CT-100,185000,2013,Manual,100,42000,10/30/2021,202.05,157,15862.95
Bajaj CT-100,185000,2014,Automatic,100,35000,10/25/2021,202,157,15859.02
Bajaj CT-100,185000,2014,Manual,100,75000,10/24/2021,201.33,157,15806.42
Bajaj CT-100,185000,2013,Manual,100,70000,10/23/2021,201.35,157,15807.99
Bajaj CT-100,185000,2012,Manual,100,20540,10/18/2021,200.44,157,15736.54
Bajaj CT-100,185000,2014,Manual,100,65000,10/11/2021,200.06,157,15706.71
Bajaj CT-100,185000,2013,Automatic,100,75000,10/9/2021,199.89,157,15693.36
Bajaj CT-100,185000,2013,Manual,100,70000,10/1/2021,199.7,157,15678.45
Bajaj CT-100,185000,2014,Manual,100,25000,9/27/2021,200.05,157,13821.45
Bajaj CT-100,185000,2013,Manual,100,64000,9/17/2021,199.62,157,13791.75
Bajaj CT-100,185000,2013,Manual,100,35244,9/17/2021,199.62,157,13791.75
Bajaj CT-100,187000,2015,Manual,100,35000,10/1/2021,199.7,157,15678.45
Bajaj CT-100,187000,2013,Manual,100,87989,9/25/2021,199.72,157,13798.65
Bajaj Ct-100,188000,2014,Manual,100,83000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,188000,2013,Manual,100,39000,10/28/2021,201.93,157,15853.52
Bajaj CT-100,188000,2013,Manual,100,58996,9/17/2021,199.62,157,13791.75
Bajaj CT-100,189000,2013,Manual,100,20000,9/14/2021,199.36,157,13773.78
Bajaj Ct-100,190000,2013,Manual,100,40000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,190000,2014,Manual,100,42000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,190000,2012,Manual,100,61000,10/23/2021,201.35,157,15807.99
Bajaj CT-100,190000,2014,Manual,100,53000,10/21/2021,200.46,157,15738.11
Bajaj CT-100,190000,2012,Manual,100,30000,10/20/2021,200.54,157,15744.4
Bajaj CT-100,190000,2014,Manual,100,60000,10/20/2021,200.54,157,15744.4
Bajaj CT-100,190000,2014,Manual,100,44000,10/14/2021,200.98,157,15778.94
Bajaj CT-100,190000,2014,Manual,100,56000,10/9/2021,199.89,157,15693.36
Bajaj CT-100,190000,2018,Manual,100,55000,9/15/2021,199.45,157,13780
Bajaj CT-100,190000,2014,Manual,100,25000,9/11/2021,199.73,157,13799.35
Bajaj CT-100,192000,2015,Manual,100,30500,11/3/2021,201.45,157,15400.85
Bajaj CT-100,195000,2014,Manual,100,38263,11/4/2021,201.49,157,15403.91
Bajaj CT-100,195000,2016,Manual,100,57000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,195000,2015,Manual,100,50000,11/1/2021,201.98,157,15441.37
Bajaj CT-100,195000,2014,Manual,100,36852,10/31/2021,202.07,157,15864.52
Bajaj CT-100,195000,2014,Manual,100,43000,10/27/2021,201.49,157,15818.98
Bajaj CT-100,195000,2014,Manual,100,18500,10/26/2021,201.48,157,15818.19
Bajaj CT-100,195000,2014,Manual,110,57000,10/22/2021,201.39,157,15811.13
Bajaj CT-100,195000,2013,Manual,100,30000,10/19/2021,201,157,15780.51
Bajaj CT-100,195000,2014,Manual,100,55000,10/8/2021,200.03,157,15704.36
Bajaj CT-100,195000,2013,Manual,100,59000,9/26/2021,199.72,157,13798.65
Bajaj CT-100,196000,2013,Manual,100,45000,10/12/2021,200.5,157,15741.26
Bajaj CT-100,196000,2014,Manual,100,35000,10/9/2021,199.89,157,15693.36
Bajaj CT-100,198000,2014,Manual,100,30750,10/30/2021,202.05,157,15862.95
Bajaj CT-100,199000,2015,Manual,100,36000,10/31/2021,202.07,157,15864.52
Bajaj CT-100,199000,2015,Manual,99,34000,9/25/2021,199.72,157,13798.65
Bajaj CT-100,200000,2014,Manual,100,65000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,200000,2014,Manual,100,57000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,200000,2015,Manual,100,95000,10/26/2021,201.48,157,15818.19
Bajaj CT-100,200000,2013,Manual,100,32500,10/23/2021,201.35,157,15807.99
Bajaj CT-100,200000,2015,Manual,100,35790,10/9/2021,199.89,157,15693.36
Bajaj CT-100,200000,2014,Automatic,100,77500,9/21/2021,199.96,157,13815.24
Bajaj CT-100,200000,2013,Manual,110,60000,9/8/2021,199.73,157,13799.35
Bajaj CT-100,202000,2015,Manual,100,31000,11/4/2021,201.49,157,15403.91
Bajaj CT-100,205000,2014,Manual,100,35444,11/3/2021,201.45,157,15400.85
Bajaj CT-100,205000,2014,Manual,100,49000,10/30/2021,202.05,157,15862.95
Bajaj CT-100,205000,2014,Manual,100,82000,10/27/2021,201.49,157,15818.98
Bajaj CT-100,205000,2014,Manual,100,38000,10/19/2021,201,157,15780.51
Bajaj CT-100,205000,2009,Manual,100,23500,10/6/2021,199.42,157,15656.46
Bajaj CT-100,205000,2015,Manual,100,36500,9/19/2021,199.57,157,13788.29
Bajaj CT-100,205000,2014,Manual,100,43000,9/9/2021,199.79,157,13803.49
Bajaj CT-100,209000,2015,Manual,100,63363,9/13/2021,199.5,157,13783.46
Bajaj CT-100,210000,2015,Manual,100,25000,11/3/2021,201.45,157,15400.85
Bajaj CT-100,210000,2014,Manual,100,11111,10/25/2021,202,157,15859.02
Bajaj CT-100,210000,2013,Manual,100,30000,10/12/2021,200.5,157,15741.26
Bajaj CT-100,210000,2014,Manual,100,37800,10/11/2021,200.06,157,15706.71
Bajaj CT-100,210000,2014,Manual,100,43000,10/10/2021,199.89,157,15693.36
Bajaj CT-100,210000,2015,Manual,100,35000,10/7/2021,199.98,157,15700.43
Bajaj CT-100,210000,2013,Manual,100,86469,10/7/2021,199.98,157,15700.43
Bajaj CT-100,210000,2012,Manual,100,77128,10/2/2021,199.7,157,15678.45
Bajaj CT-100,210000,2014,Manual,100,38711,9/21/2021,199.96,157,13815.24
Bajaj CT-100,210000,2013,Manual,100,17000,9/18/2021,199.62,157,13791.75
Bajaj CT-100,210000,2015,Manual,100,50000,9/10/2021,199.73,157,13799.35
